Project Key,Issue Type,Epic Link,Parent Issue Key,Summary,Description,Story Points,Priority,Labels,Components,Assignee,Reporter,Due Date,Status,Sprint,Environment,Custom field (Target Start Date),Custom field (Target End Date)
KAN,Epic,,KAN-PLANE-B,"Plane B - Consented Verification (Phase 1)","Implement LinkedIn OAuth, Government ID, Liveness, and Image verification for user-initiated trust signals. Timeline: 7 weeks (Weeks 9-15)",0,High,"ai-commander-ready, plane-b, phase-1",Plane B,,Anthony Larkins,2025-03-31,Ready for AI Commander,"Sprint 1-4",development,2025-03-10,2025-04-25
KAN,Feature,KAN-PLANE-B,,Sprint 1: LinkedIn OAuth Integration,"Sprint 1 Feature: Implement LinkedIn OAuth 2.0 flow with employment and education data extraction. Timeline: Weeks 9-10",0,High,"ai-commander-ready, sprint-1, linkedin, plane-b",Plane B,,Anthony Larkins,2025-03-16,Ready for AI Commander,"Sprint 1",development,2025-03-10,2025-03-16

KAN,Story,KAN-PLANE-B,KAN-LI-FEAT-1,"KAN-LI-001: LinkedIn OAuth Flow Setup","Implement OAuth 2.0 flow for LinkedIn sign-in, capturing employment and education data.

## Acceptance Criteria
- LinkedIn app created and configured
- OAuth callback handler implemented
- Access token stored securely
- Consent screen shows what data is requested
- Error handling for rejected permissions
- Can refresh expired tokens

## Implementation Details
File: internal/api/oauth_handler.go

## Subtasks
- Design OAuth callback handler
- Implement LinkedIn scopes (profile, email, public_profile)
- Add token storage to database
- Create UI flow for ""Link LinkedIn"" button
- Add error handling for permission denial

## Definition of Done
- Code reviewed and approved
- Unit tests pass (>80% coverage)
- Integrated with CI/CD pipeline
- Documentation updated in code comments
- Ready for QA testing",8,High,"ai-commander-ready, sprint-1, linkedin, oauth",Plane B,"[Engineer A]",Anthony Larkins,2025-03-15,Ready for AI Commander,"Sprint 1",development,2025-03-10,2025-03-15

KAN,Story,KAN-PLANE-B,KAN-LI-FEAT-1,"KAN-LI-002: LinkedIn Data Extraction & Storage","Extract employment and education data from LinkedIn OAuth response. Store in database.

## Acceptance Criteria
- Parse LinkedIn profile API response
- Extract job history, titles, companies, dates
- Extract education, schools, degrees, years
- Store in subject_employment table
- Store in subject_education table
- Handle missing/incomplete data gracefully

## Data Model
```go
type LinkedInProfile struct {
    ID          string
    Email       string
    FirstName   string
    LastName    string
    Employment  []LinkedInJob
    Education   []LinkedInEducation
}
```

## Implementation Details
Files:
- internal/models/linkedin.go (new)
- internal/store/linkedin_repo.go (new)
- migrations/003_linkedin_integration.sql (new)

## Database Changes
- subject_employment table: company, title, start_date, end_date, is_current
- Update subject_education table with source tracking

## Definition of Done
- All fields extracted and validated
- Database schema created and migrated
- Error handling for malformed data
- Unit tests for data parsing
- Integration tests with real LinkedIn responses",5,High,"ai-commander-ready, sprint-1, linkedin, data-model",Plane B,"[Engineer A]",Anthony Larkins,2025-03-13,Ready for AI Commander,"Sprint 1",development,2025-03-10,2025-03-13

KAN,Story,KAN-PLANE-B,KAN-LI-FEAT-1,"KAN-LI-003: Employment Validator (Free Validation)","Build free employment validation (similar to education validator).

## Validation Signals
1. Timeline Plausibility (20 points) - employment start before current job ends
2. Company Existence (30 points) - check if company is known
3. Job-Career Alignment (25 points) - match job title to education field
4. Employment Tenure (15 points) - longer employment = more trustworthy
5. Verification Status (10 points) - explicitly verified

## Acceptance Criteria
- Validate employment timeline
- Check company existence (basic)
- Match job title to career field
- Weight by tenure
- Generate confidence score (0-100)
- Identify verified vs. self-reported
- Write 20+ unit tests

## Implementation Details
Files:
- internal/verification/employment_validator.go (new)
- internal/verification/employment_validator_test.go (new)

## Confidence Scoring
- 0-50: Self-reported (no verification)
- 50-70: Partial verification
- 70-100: Verified

## Definition of Done
- All 5 validation signals implemented
- Unit tests >90% coverage
- Confidence score algorithm validated
- Performance <1ms per profile
- Code reviewed and approved",5,High,"ai-commander-ready, sprint-1, linkedin, validation, free-validation",Plane B,"[Engineer A]",Anthony Larkins,2025-03-15,Ready for AI Commander,"Sprint 1",development,2025-03-10,2025-03-15

KAN,Story,KAN-PLANE-B,KAN-LI-FEAT-1,"KAN-LI-004: Employment Signal Provider","Create employment signal for assessment pipeline. Contribute to risk scoring.

## Acceptance Criteria
- Implement EmploymentProvider signal
- Calculate score from employment confidence
- Generate reason codes:
  - EMPLOYMENT_VERIFIED
  - EMPLOYMENT_DURATION_ESTABLISHED
  - EMPLOYMENT_ALIGNED_WITH_EDUCATION
  - EMPLOYMENT_COMPANY_KNOWN
- Integrate with policy engine
- Score range: 0-30 points

## Implementation Details
Files:
- internal/signals/employment_plane_b.go (new)

## Integration Points
- Add to internal/signals/evaluator.go
- Register with AssessmentHandler
- Update policy engine weights
- Add reason codes to models/assessment.go

## Testing
- Unit tests for signal scoring
- Integration tests with assessments
- Edge cases: missing data, incomplete profiles

## Definition of Done
- Signal integrated into assessment pipeline
- Contributes correctly to risk scoring
- Tests pass (>80% coverage)
- No performance impact on assessments
- Ready for Sprint 1 testing",3,High,"ai-commander-ready, sprint-1, linkedin, signals",Plane B,"[Engineer A]",Anthony Larkins,2025-03-15,Ready for AI Commander,"Sprint 1",development,2025-03-10,2025-03-15
